format	width	quality	size	dssim	filename
webp	150	70	23818	0.00230426	./quality-samples/sample0.jpg
webp	150	70	3804	0.00227931	./quality-samples/sample2.jpg
webp	150	70	8972	0.00247032	./quality-samples/sample1.jpg
webp	150	70	9158	0.00296347	./quality-samples/sample3.jpg
webp	150	73	3918	0.00217468	./quality-samples/sample2.jpg
webp	150	73	23980	0.00216187	./quality-samples/sample0.jpg
webp	150	71	23884	0.00229681	./quality-samples/sample0.jpg
webp	150	75	24034	0.00215023	./quality-samples/sample0.jpg
webp	150	75	4022	0.00198214	./quality-samples/sample2.jpg
webp	150	72	3910	0.00215867	./quality-samples/sample2.jpg
webp	150	74	4010	0.002018	./quality-samples/sample2.jpg
webp	150	71	3860	0.00216994	./quality-samples/sample2.jpg
webp	150	74	9370	0.00224518	./quality-samples/sample1.jpg
webp	150	74	23980	0.00216187	./quality-samples/sample0.jpg
webp	150	72	23908	0.00225299	./quality-samples/sample0.jpg
webp	150	71	9088	0.00240585	./quality-samples/sample1.jpg
webp	150	73	9286	0.00231266	./quality-samples/sample1.jpg
webp	150	72	9160	0.00236215	./quality-samples/sample1.jpg
webp	150	75	9450	0.00217132	./quality-samples/sample1.jpg
webp	150	75	9690	0.0027071	./quality-samples/sample3.jpg
webp	150	74	9590	0.00267165	./quality-samples/sample3.jpg
webp	150	71	9298	0.0029586	./quality-samples/sample3.jpg
webp	150	73	9470	0.00274762	./quality-samples/sample3.jpg
webp	150	72	9342	0.00289668	./quality-samples/sample3.jpg
webp	150	79	4528	0.0016018	./quality-samples/sample2.jpg
webp	150	78	4414	0.00166023	./quality-samples/sample2.jpg
webp	150	76	4108	0.00186814	./quality-samples/sample2.jpg
webp	150	77	4266	0.00176253	./quality-samples/sample2.jpg
webp	150	80	4678	0.0014919	./quality-samples/sample2.jpg
webp	150	77	24322	0.00182414	./quality-samples/sample0.jpg
webp	150	78	10568	0.00178573	./quality-samples/sample1.jpg
webp	150	79	10758	0.00164547	./quality-samples/sample1.jpg
webp	150	80	11208	0.00151761	./quality-samples/sample1.jpg
webp	150	76	24138	0.00196625	./quality-samples/sample0.jpg
webp	150	79	24554	0.0015926	./quality-samples/sample0.jpg
webp	150	78	24388	0.00171207	./quality-samples/sample0.jpg
webp	150	80	24634	0.00149183	./quality-samples/sample0.jpg
webp	150	77	10016	0.00196237	./quality-samples/sample1.jpg
webp	150	76	9784	0.00206729	./quality-samples/sample1.jpg
webp	150	78	10618	0.00219985	./quality-samples/sample3.jpg
webp	150	79	11058	0.00202918	./quality-samples/sample3.jpg
webp	150	76	10044	0.00248593	./quality-samples/sample3.jpg
webp	150	77	10348	0.00234012	./quality-samples/sample3.jpg
webp	150	80	11358	0.00192917	./quality-samples/sample3.jpg
webp	150	81	4792	0.00144524	./quality-samples/sample2.jpg
webp	150	84	5386	0.00112492	./quality-samples/sample2.jpg
webp	150	82	5046	0.00127151	./quality-samples/sample2.jpg
webp	150	85	5666	0.00102818	./quality-samples/sample2.jpg
webp	150	83	5206	0.00127983	./quality-samples/sample2.jpg
webp	150	81	24870	0.001355	./quality-samples/sample0.jpg
webp	150	82	24898	0.00135703	./quality-samples/sample0.jpg
webp	150	84	12810	0.00108871	./quality-samples/sample1.jpg
webp	150	82	12020	0.00127668	./quality-samples/sample1.jpg
webp	150	83	25064	0.00130737	./quality-samples/sample0.jpg
webp	150	81	11542	0.00144843	./quality-samples/sample1.jpg
webp	150	85	25384	0.00116328	./quality-samples/sample0.jpg
webp	150	84	25222	0.00119392	./quality-samples/sample0.jpg
webp	150	83	12296	0.00119011	./quality-samples/sample1.jpg
webp	150	85	13418	0.00101122	./quality-samples/sample1.jpg
webp	150	90	7238	0.00066301	./quality-samples/sample2.jpg
webp	150	87	6108	0.00090399	./quality-samples/sample2.jpg
webp	150	81	11726	0.00177924	./quality-samples/sample3.jpg
webp	150	88	6518	0.00082915	./quality-samples/sample2.jpg
webp	150	83	12604	0.00160322	./quality-samples/sample3.jpg
webp	150	84	13076	0.00149041	./quality-samples/sample3.jpg
webp	150	86	5882	0.00096345	./quality-samples/sample2.jpg
webp	150	82	12042	0.0017009	./quality-samples/sample3.jpg
webp	150	89	6724	0.00075198	./quality-samples/sample2.jpg
webp	150	85	13386	0.00138972	./quality-samples/sample3.jpg
webp	150	89	26234	0.00085886	./quality-samples/sample0.jpg
webp	150	86	25630	0.00105898	./quality-samples/sample0.jpg
webp	150	90	26390	0.00087021	./quality-samples/sample0.jpg
webp	150	87	25774	0.00100206	./quality-samples/sample0.jpg
webp	150	88	25986	0.00095464	./quality-samples/sample0.jpg
webp	150	86	13908	0.00089227	./quality-samples/sample1.jpg
webp	150	89	15764	0.00064744	./quality-samples/sample1.jpg
webp	150	90	16352	0.0005854	./quality-samples/sample1.jpg
webp	150	88	15090	0.00072284	./quality-samples/sample1.jpg
webp	150	87	14552	0.00076827	./quality-samples/sample1.jpg
webp	150	95	9704	0.00041956	./quality-samples/sample2.jpg
webp	150	94	8968	0.00045802	./quality-samples/sample2.jpg
webp	150	91	7626	0.00060671	./quality-samples/sample2.jpg
